quality,bits,intra_parts,skip_parts,inter_16x16_parts,inter_4x4_parts,inter_other_parts,non_zero_pixels,frame_width,frame_height,movement_level,mean,sub_mean_1,sub_mean_2,sub_mean_3,sub_mean_4,var_sub_blocks,sobel_h,sobel_v,variance,block_movement_h,block_movement_v,var_movement_h,var_movement_v,cost_1,cost_2,relevant
22,1169,0,0,1,18,6,254,416,240,52731,3.224609,2.011719,0.71875,4.328125,5.839844,3.951908,9.107422,9.751953,24.150723,2.929688,1.59375,16.737244,4.897461,5569.0,6166.0,1.0
22,737,0,0,0,6,13,103,416,240,52731,1.458984,1.109375,1.9179689999999998,0.0,2.808594,1.0707440000000001,4.759766,5.185547,11.603786,3.8671879999999996,4.492188,30.427673,140.04681399999998,4548.0,4893.0,1.0
22,521,0,0,2,9,7,97,416,240,52731,1.317383,0.0,0.0,2.992188,2.277344,1.799373,3.895508,4.541992,11.589698,1.5,2.070312,3.6875,7.0341190000000005,11865.0,12940.0,1.0
22,1609,0,0,0,12,17,361,416,240,52731,4.741211,3.7226559999999997,5.515625,4.144531,5.582031,0.675044,13.28418,13.561523000000001,30.369553000000003,0.265625,1.2578120000000002,0.19506800000000002,3.191345,8301.0,8179.0,1.0
22,697,0,0,0,3,16,124,416,240,52731,1.432617,1.105469,1.511719,2.660156,0.453125,0.644885,5.095703,5.242188,8.317725,0.78125,1.710938,1.295898,4.1742550000000005,12184.0,12992.0,1.0
22,429,0,0,2,3,11,57,416,240,52731,0.7851560000000001,1.2109379999999998,0.0,1.339844,0.5898439999999999,0.285896,3.3203120000000004,2.916016,4.719467,1.234375,1.484375,2.679443,3.9372559999999996,6723.0,7812.0,1.0
22,146,0,1,2,0,2,17,416,240,52731,0.367188,0.328125,1.140625,0.0,0.0,0.217346,0.523438,1.183594,2.029236,4.25,0.9375,31.5625,1.558594,4306.0,3450.0,1.0
22,44,0,1,1,0,4,0,416,240,52731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.625,1.125,21.984375,2.234375,2830.0,3463.0,1.0
22,1845,0,0,0,9,21,311,416,240,52731,4.97168,4.234375,2.765625,5.0,7.886719,3.4771379999999996,14.731445,16.083008,73.810722,2.882812,2.710938,22.83783,53.06488,2180.0,22576.0,1.0
22,241,0,2,0,9,4,30,416,240,52731,0.304688,0.0,0.890625,0.0,0.328125,0.132385,1.5595700000000001,1.274414,2.5849,0.945312,0.875,12.942322,7.109375,11594.0,4079.0,1.0
